latitude,longitude,name,desc,color
39.78373,-100.445882,"037  SW Hamilton Street, #1, Portland, OR 97239",US,
39.78373,-100.445882,"1235 SE 26th Ave,  #7, Portland, OR 97214",US,
39.78373,-100.445882,"4875 NW 273rd Ave, Hillsboro, OR 97124",US,
39.78373,-100.445882,"13629 NW 43rd Ave, Vancouver, WA 97222",US,
45.571057,-122.662055,"6626 NE Garfield Avenue, Portland, OR 97211-____","6626 Northeast Garfield Avenue, Portland, Multnomah County, OR, US",
45.566639,-122.625776,"3637 NE Ainsworth St., Portland, OR 97211-____","3637 Northeast Ainsworth Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"4400 NE Emerson St. Apt. 2, Portland, OR 97218",US,
45.5594,-122.680827,"5024 N Maryland Ave, Portland, OR 97217","5024 North Maryland Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"2740 NE M. L. King Blvd, Portland, OR 97212",US,
45.547113,-122.587132,"3343 ne 74th ave portland, Portland, OR 97213-____","3343 Northeast 74th Avenue, Portland, Multnomah County, OR, US",
45.576036,-122.665815,"45 Ne Holland St., Portland, OR 97211-____","45 Northeast Holland Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"2643 NE Clackamas, Portland, OR 97232-____",US,
45.49699,-122.653958,"3533 SE Milwaukie Ave, Portland, OR 97202-____","3533 Southeast Milwaukie Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"tbd, Portland, OR 97281",US,
45.544531,-122.662338,"322 NE Morris St., Portland, Oregon 97212","322 Northeast Morris Street, Portland, Multnomah County, OR, US",
45.537374,-122.616656,"4512 NE Sandy Blvd, Portland, OR 97213","4512 Northeast Sandy Boulevard, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"1234 Nothing Street, Nowhere, CA 90210",US,
39.78373,-100.445882,"339 N. Skidmore Street, Apt A, Portland, OR 97217",US,
45.518284,-122.586434,"7404 SE Washington St, Portland, OR 97215","7404 Southeast Washington Street, Portland, Multnomah County, OR, US",
45.490746,-122.68163,"332 SW Hamilton St, Portland, OR 97239","332 Southwest Hamilton Street, Portland, Multnomah County, OR, US",
45.557425,-122.60926,"4730 NE 52ND AVE, Portland, OR 97218-____","4730 Northeast 52nd Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"2420 Bramble Way, Portland, OR 97214",US,
39.78373,-100.445882,"1400 technology drive, Harrisonburg, VA 22801-____",US,
39.78373,-100.445882,"925 NE Orenco St Loop, Portland, OR 97214",US,
45.535237,-122.708225,"2774 NW Thurman St, Portland, OR 97210","2774 Northwest Thurman Street, Portland, Multnomah County, OR, US",
45.568162,-122.659065,"6250 NE 6th ave, Portland, Oregon 97211","6250 Northeast 6th Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"13720 SW 6th Street APT 51, Beaverton, OR 97005",US,
45.429017,-122.638893,"2409 SE Evergreen St, Milwaukie, OR 97222","2409 Southeast Evergreen Street, Clackamas County, OR, US",
39.78373,-100.445882,"2227 SE 32nd Pl, Portland, OR 96214",US,
45.541809,-122.8724,"3000 NW Stucki Place, Hillsboro, OR 97124","3000 Northwest Stucki Place, Hillsboro, Washington County, OR, US",
45.555663,-122.68072,"4520 N Maryland Ave, Portland, OR 97217","4520 North Maryland Avenue, Portland, Multnomah County, OR, US",
45.558146,-122.655843,"4855 NE 10th ave, Portland, OR 97211","4855 Northeast 10th Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"1115 SE Morrison, Portland, OR 97214",US,
39.78373,-100.445882,"2509 NE Flanders St, 203, Portland, OR 97232",US,
45.517303,-123.05319,"1525 S. Cherry St, Cornelius, OR 97113","1525 South Cherry Street, Cornelius, Washington County, OR, US",
39.78373,-100.445882,"1703 NE Alberta, portland, OR 97211",US,
39.78373,-100.445882,"2505 SE 11th Ave. Suite B29, Portland, OR 97202",US,
45.516484,-122.618664,"4246 SE Belmont St., Portland, OR 97215","4246 Southeast Belmont Street, Portland, Multnomah County, OR, US",
